borderline			1.548438245	1.4661764369999999		1.429891562		1.481502081333333
anorexic						1.237816576	1.043399455	1.1406080155
si			2.415563662	11.165497484000001	5.954598265	7.853732762999999	7.929835858	7.063845606399999
self harm			2.0439384830000003	9.81210385	5.068332477	8.579349377	5.962282599999999	6.293201357399999
being thin						1.557941553	1.222267933	1.390104743
bi-polar							1.550193476	1.550193476
eating disorder				1.240610831	1.149375944	1.899408195	1.3713249980000002	1.415179992
manic depression				1.691742043	1.066288526	1.024399925		1.2608101646666665
self mutilation			3.3446266089999996	5.526357341000001	7.6578903270000005	6.807991173	8.377007053	6.342774500599999
medication				2.030090451	1.03859272	1.579283218	1.550193476	1.5495399662500002
disorders				1.9173076480000002	1.370942391	1.6219665490000001	1.9675532580000001	1.7194424615000004
bpd				1.9173076480000002	1.066288526	2.689049805		1.890881993
dark poetry					1.1216801379999999		1.19245652	1.157068329
hurting				1.3533936340000001	1.454029808	1.536599888	1.818496193	1.54062988075
perfect					1.024744817	1.237816576	1.1626451070000001	1.1417355
depressed				1.3533936340000001	1.4817256140000001	1.323183237	2.2060445619999998	1.59108676175
cut				1.127828028	1.204767556	2.262216502	2.08679891	1.670402749
ed-nos						1.685991544	1.6992505409999998	1.6926210425
anorexia nervosa				1.127828028	1.301702876	1.814041535	1.729061954	1.49315859825
mania				1.015045225		1.00305826		1.0090517425
hopelessness				1.015045225	1.066288526		2.176233149	1.4191889666666668
starvation				1.691742043	1.8971627030000002	2.070141516	1.907930432	1.8917441735
self injury			3.592376728	16.015158008	10.39977511	12.954390727	12.550604873	11.1024610892
borderline personality disorder			1.300688125	4.511312115	2.395687209	5.186024624	2.8917070610000004	3.2570838268
purging					1.246311264	2.347583163	1.3713249980000002	1.6550731416666666
self destruction				1.015045225	1.27400707	1.195133246	1.19245652	1.1691605152499998
bipolar disorder				2.594004466	1.537117226	2.518316484	1.401136411	2.01264364675
panic attacks					1.190919653	1.4512332280000002	1.550193476	1.3974487856666666
suffering					1.398638197			1.398638197
falling				1.015045225	1.052440623			1.033742924
elizabeth wurtzel				1.015045225				1.015045225
ednos			1.176813066	1.4661764369999999	1.052440623	2.83844146	1.729061954	1.652586708
prozac					1.024744817	1.195133246	1.1328336940000001	1.1175705856666667
collar bones			1.114875536	1.240610831	1.17707175	1.579283218	1.430947824	1.3085578318
pro-ana					1.135528041	1.4725748930000002	1.0732108679999999	1.2271046006666666
self-mutilation			1.920063424	4.172963706	4.5282642619999995	3.969549712	4.561146189	3.8303974585999994
razor blades			1.486500715	3.834615297	5.276051021000001	4.268333023	5.753602709	4.123820553
bulimia			1.610375774	3.4962668889999997	4.639047485	7.106774484	6.349830969	4.6404591202
sad				1.3533936340000001		1.0884249209999999	1.1626451070000001	1.2014878873333334
starving				1.240610831	2.257208179	3.3506414230000003	2.504158692	2.33815478125
restriction						1.280499907		1.280499907
weight				1.57895924	1.454029808	2.1555081769999997	1.430947824	1.6548612622499999
hurt			1.486500715	2.594004466	3.3373446089999996	3.1158831069999997	4.1437864069999994	2.9355038607999995
self-injury			2.291688602	11.165497484000001	5.525313274	8.13117441	8.406818466	7.104098447199999
restricting				1.015045225		2.1768498419999998	1.1626451070000001	1.4515133913333333
vampyres					1.329398682			1.329398682
pro ana						1.4725748930000002	1.1328336940000001	1.3027042935000002
vampirism					1.537117226	1.131108251		1.3341127385
ocd			2.97300143	3.9473981	2.367991403	3.4360080839999996	2.0569874969999997	2.9562773028
alone			1.486500715	2.030090451	2.741884782	2.368924828	3.57736956	2.4409540672
obsessive compulsive disorder			1.114875536	1.3533936340000001	1.329398682	1.429891562	1.1626451070000001	1.2780409042
diet pills						1.3658665669999999		1.3658665669999999
knifes					1.246311264		1.0732108679999999	1.159761066
personality disorders				1.8045248459999998		1.323183237		1.5638540415
hiding			1.238750596	2.36843886	1.3570944880000002	1.515258223	2.2060445619999998	1.7371173458000002
body image				1.9173076480000002	1.315550779	1.8353831999999999	1.639627715	1.6769673355
mental disorders				1.240610831	1.260159167	2.006116521	1.6098163019999998	1.52917570525
emptiness					1.426334003	1.152449916	1.401136411	1.32664011
sharp things				1.015045225	1.066288526	1.301841572	1.907930432	1.3227764387499998
addictions				1.4661764369999999		1.195133246		1.3306548415
cuts			1.672313304	2.481221663	3.669694279	2.79575813	6.081528252000001	3.3401031256000002
panic						1.301841572	1.252079346	1.276960459
hunger					1.218615458	2.027458186	1.0732108679999999	1.4397615039999998
calories				1.4661764369999999	1.17707175	2.603683144	1.997364671	1.8110740005000001
social anxiety				1.240610831		1.195133246		1.2178720385
mutilation			1.362625655		2.146424956	1.515258223	2.027176084	1.7628712295
schizophrenia				1.240610831	1.4401819059999998	1.87806653	1.430947824	1.4974517727499999
isolation				1.127828028	1.4678777109999999	1.6433082140000002	1.639627715	1.469660417
not eating						1.173791581		1.173791581
abuse			1.238750596	3.7218324939999996	2.7834284910000004	3.2439330980000003	3.0407641260000005	2.8057417610000006
stress				1.691742043	1.232463361	1.280499907		1.4015684370000001
prozac nation				2.142873254	1.370942391	1.899408195	1.818496193	1.80793000825
razorblades			2.0439384830000003	1.9173076480000002	3.932804435	3.692108065	5.246808688	3.3665934637999997
satanism					1.204767556			1.204767556
the craft					1.149375944	1.04574159		1.097558767
body modifications					1.024744817			1.024744817
thinspiration			1.052938006		1.578660935	2.411608158	1.7588733669999999	1.7005201165
chokers								0.0
razors			3.840126848	7.782013397999999	10.26129608	9.04886601	12.043810852	8.5952226376
self expression					1.163223847		1.3713249980000002	1.2672744225
emily the strange								0.0
fat					1.03859272	1.4725748930000002		1.2555838065000002
scissors					1.27400707		1.49057065	1.38228886
ginger snaps						1.216474911	1.222267933	1.219371422
scarification			1.424563185	1.8045248459999998	2.548014141	2.1768498419999998	1.937741845	1.9783387717999996
ptsd			1.114875536	3.15791848	1.052440623	2.560999814	1.311702172	1.839587325
bipolar			1.486500715	5.300791735	3.185017676	4.865899647	3.994729342	3.7665878229999996
help			1.052938006	1.9173076480000002	1.495573517	1.4512332280000002	2.2060445619999998	1.6246193922
lies					1.4401819059999998	1.04574159	1.7588733669999999	1.4149322876666666
black nailpolish								0.0
bullet for my valentine						1.4512332280000002		1.4512332280000002
venting				1.4661764369999999	1.329398682	1.323183237	1.6992505409999998	1.4545022242499999
mental illness			1.610375774	6.992533777999999	2.894211715	4.929924642	3.249444017	3.9352979852000005
mental health			2.353626132	6.428619764	2.257208179	5.442124605	2.444535866	3.7852229091999994
psychiatry				2.142873254	1.246311264	1.984774856	1.3713249980000002	1.686321093
recovery			1.796188364	6.090271355	1.8279231880000002	4.182966363	3.5475581469999997	3.4889814834
kate moss					1.066288526		1.0732108679999999	1.0697496969999998
self-expression							1.430947824	1.430947824
needles			1.548438245	1.691742043	3.240409288	2.347583163	3.0407641260000005	2.373787373
burning			1.920063424	4.73687772	5.276051021000001	4.716507991	6.170962491	4.564092529400001
crazy				1.240610831	1.024744817		1.311702172	1.1923526066666665
scarling			1.300688125	1.240610831	1.786379479	1.771358204	1.937741845	1.6073556968000002
diets				1.127828028	1.163223847	1.856724865	1.3713249980000002	1.3797754345
heartbreak							1.341513585	1.341513585
rape				1.8045248459999998	1.4124861000000002	1.557941553	1.580004889	1.5887393470000002
obsessions						1.1097665859999999		1.1097665859999999
hatred					1.4678777109999999		1.311702172	1.3897899415
bongs					1.190919653			1.190919653
fangs					1.163223847			1.163223847
apathy								0.0
pink hair								0.0
queen adreena								0.0
mia			1.052938006	1.127828028	2.68649317	4.012233042	3.0705755389999996	2.390013557
addiction			1.486500715	2.594004466	1.8971627030000002	2.283558167	2.9811412999999995	2.2484734701999995
helping				1.9173076480000002				1.9173076480000002
fishnet				1.127828028	1.523269323		1.1626451070000001	1.271247486
fake hair								0.0
confusion					1.107832235	1.195133246		1.1514827405
mcr						1.195133246	1.1030222809999999	1.1490777634999998
flyleaf				1.240610831		1.856724865	1.043399455	1.3802450503333334
losers								0.0
living dead dolls					1.0108969140000001			1.0108969140000001
autism				1.691742043		1.237816576		1.4647793095
dyed hair				2.030090451	1.50942142	1.173791581	1.6098163019999998	1.5807799384999999
bleeding			1.858125894	5.188008932	6.480818577000001	5.740907917	7.214361946	5.2964446532
skinny			1.300688125	1.3533936340000001	2.201816567	4.204308028	3.0705755389999996	2.4261563786
murder					2.11872915	1.515258223	1.639627715	1.7578716959999998
spells				1.240610831	1.218615458			1.2296131445
sadness			1.610375774	4.060180903	4.375937329	3.371983088	4.322654885	3.5482263958000004
eating disorders		1.113132713	3.778189318	8.23314461	6.079229391	9.603749302999999	7.423041837	6.038414528666666
obsession			1.362625655	1.691742043	1.9525543140000001	2.347583163	2.3252902140000002	1.9359590778000002
losing weight			1.610375774	2.030090451	2.298751888	3.7774747260000003	2.2656673880000002	2.3964720454000004
advice							1.043399455	1.043399455
diet					1.080136429	1.707333209	1.1626451070000001	1.316704915
hip bones			1.362625655		1.5648130319999998	2.070141516	1.78868478	1.6965662457500001
poppy z. brite								0.0
strawberry shortcake					1.0108969140000001			1.0108969140000001
wiccan								0.0
ana		1.139635873	1.548438245	2.9323528739999998	4.459024747	6.167741219	5.336242927	3.5972393141666665
torture			1.176813066		2.631101559	2.112824846	1.6098163019999998	1.8826389432500001
body piercing								0.0
abnormal psychology						1.280499907		1.280499907
pale skin					1.9110106059999998	1.600624883	1.3713249980000002	1.6276534956666666
being myself				1.015045225				1.015045225
insane clown posse					1.246311264		1.19245652	1.219383892
twiztid					1.163223847			1.163223847
the bell jar				1.4661764369999999	1.107832235	1.728674874	1.1626451070000001	1.36633216325
pills			2.539438722	2.8195700710000002	6.0930772939999995	6.103716223999999	6.320019556	4.7751643734
fasting				1.8045248459999998	2.672645267	4.375041349	3.636992386	3.1223009619999997
paranoia				1.3533936340000001	1.537117226	1.6219665490000001	1.401136411	1.478403455
cemetaries				1.127828028	1.994098023	1.00305826	1.19245652	1.3293602077500002
therapy			1.796188364	4.398529312	2.381839306	3.3079580930000003	2.802272822	2.9373575793999995
thin			1.672313304	1.691742043	2.852668006	5.2927329489999995	3.3985010819999997	2.9815914768
skillet				1.57895924		1.152449916		1.365704578
